Movie Title,Release Date,Wikipedia URL,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue
One Direction: This Is Us,2013-08-29,https://en.wikipedia.org/wiki/One_Direction:_This_Is_Us,Documentary,Morgan Spurlock,,Harry Styles,Niall Horan,Louis Tomlinson,Zayn Malik,Liam Payne,"$10,000,000.00","$68,500,000.00"
One for the Money,2012-01-27,https://en.wikipedia.org/wiki/One_for_the_Money_(film),Crime,Julie Anne Robinson,,Katherine Heigl,Debbie Reynolds,Jason O'Mara,Daniel Sunjata,Sherri Shepherd,"$40,000,000.00","$36,900,000.00"
Ouija,2014-10-24,https://en.wikipedia.org/wiki/Ouija_(2014_film),Horror,Stiles White,,Douglas Smith,Olivia Cooke,Vivis Colombetti,Ana Coto,Erin Moriarty,"$5,000,000.00","$103,600,000.00"
Our Brand Is Crisis,2015-09-11,https://en.wikipedia.org/wiki/Our_Brand_Is_Crisis_(2015_film),Comedy,David Gordon Green,,Sandra Bullock,Scoot McNairy,Billy Bob Thornton,Anthony Mackie,Ann Dowd,"$28,000,000.00","$8,600,000.00"
Pacific Rim,2013-07-12,https://en.wikipedia.org/wiki/Pacific_Rim_(film),Action,Guillermo del Toro,,Charlie Hunnam,Ellen McLain,Idris Elba,Charlie Day,Rinko Kikuchi,"$190,000,000.00","$411,000,000.00"
Pain & Gain,2013-04-26,https://en.wikipedia.org/wiki/Pain_%2526_Gain,Action,Michael Bay,,Mark Wahlberg,Dwayne Johnson,Ed Harris,Ken Jeong,Anthony Mackie,"$26,000,000.00","$86,200,000.00"
Pan,2015-09-30,https://en.wikipedia.org/wiki/Pan_(2015_film),Fantasy,Joe Wright,,Hugh Jackman,Garrett Hedlund,Rooney Mara,Amanda Seyfried,Levi Miller,"$150,000,000.00","$128,400,000.00"
Paper Towns,2015-07-24,https://en.wikipedia.org/wiki/Paper_Towns_(film),Romance,Jake Schreier,,Nat Wolff,Cara Delevingne,,,,"$12,000,000.00","$85,500,000.00"
Paranormal Activity 4,2012-10-19,https://en.wikipedia.org/wiki/Paranormal_Activity_4,Thriller,Ariel Schulman,Henry Joost,Kathryn Newton,Katie Featherston,,,,"$5,000,000.00","$142,800,000.00"
Paranormal Activity: The Ghost Dimension,2015-10-23,https://en.wikipedia.org/wiki/Paranormal_Activity:_The_Ghost_Dimension,Horror,Gregory Plotkin,,Katie Featherston,Tyler Craig,,,,"$10,000,000.00","$78,100,000.00"
ParaNorman,2012-08-17,https://en.wikipedia.org/wiki/ParaNorman,Fantasy,Chris Butler,,Kodi Smit-McPhee,Tucker Albrizzi,Anna Kendrick,Casey Affleck,Christopher Mintz-Plasse,"$60,000,000.00","$107,100,000.00"
Parental Guidance,2012-12-25,https://en.wikipedia.org/wiki/Parental_Guidance_(film),Comedy,Andy Fickman,,Billy Crystal,Bette Midler,Marisa Tomei,Tom Everett Scott,Bailee Madison,"$25,000,000.00","$119,800,000.00"
Parker,2013-01-25,https://en.wikipedia.org/wiki/Parker_(2013_film),Crime,Taylor Hackford,,Jason Statham,Jennifer Lopez,Bobby Cannavale,Clifton Collins,Jr.,"$35,000,000.00","$48,500,000.00"
Paul Blart: Mall Cop 2,2015-04-17,https://en.wikipedia.org/wiki/Paul_Blart:_Mall_Cop_2,Action,Andy Fickman,,Kevin James,Raini Rodriguez,Neal McDonough,Molly Shannon,Daniella Alonso,"$40,000,000.00","$107,600,000.00"
Pawn Sacrifice,2015-09-11,https://en.wikipedia.org/wiki/Pawn_Sacrifice,Biography,Ed Zwick,,Tobey Maguire,Liev Schreiber,Peter Sarsgaard,Michael Stuhlbarg,Lily Rabe,"$19,000,000.00","$5,400,000.00"
Penguins of Madagascar,2014-11-14,https://en.wikipedia.org/wiki/Penguins_of_Madagascar,Family,Simon J. Smith,,Tom McGrath,Chris Miller,Conrad Vernon,Christopher Knights,Benedict Cumberbatch,"$132,000,000.00","$373,000,000.00"
People Like Us,2012-06-29,https://en.wikipedia.org/wiki/People_Like_Us_(film),Drama,Alex Kurtzman,,Chris Pine,Elizabeth Banks,Michelle Pfeiffer,Olivia Wilde,Mark Duplass,"$16,000,000.00","$12,400,000.00"
Percy Jackson: Sea of Monsters,2013-08-07,https://en.wikipedia.org/wiki/Percy_Jackson:_Sea_of_Monsters,Adventure,Thor Freudenthal,,Logan Lerman,Alexandra Daddario,Douglas Smith,Mary Birdsong,Yvette Nicole Brown,"$90,000,000.00","$202,200,000.00"
Pitch Perfect,2012-10-05,https://en.wikipedia.org/wiki/Pitch_Perfect,Comedy,Jason Moore,,Anna Kendrick,Anna Camp,Rebel Wilson,Adam DeVine,Alexis Knapp,"$17,000,000.00","$115,400,000.00"
Pitch Perfect 2,2015-04-20,https://en.wikipedia.org/wiki/Pitch_Perfect_2,Comedy,Elizabeth Banks,,Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow,Skylar Astin,"$29,000,000.00","$287,100,000.00"
Pixels,2015-07-24,https://en.wikipedia.org/wiki/Pixels_(2015_film),Comedy,Chris Columbus,,Adam Sandler,Kevin James,Josh Gad,Peter Dinklage,Michelle Monaghan,"$129,000,000.00","$244,900,000.00"
Point Break,2015-12-25,https://en.wikipedia.org/wiki/Point_Break_(2015_film),Action,Ericson Core,,Edgar Ramirez,Luke Bracey,Ray Winstone,Teresa Palmer,,"$105,000,000.00","$133,700,000.00"
Polis Evo,2015-09-17,https://en.wikipedia.org/wiki/Polis_Evo,Action,Ghaz Abu Bakar,,Shaheizy Sam,Zizan Razak,Nora Danish,Mimie Ernida,Wan Hanafi Su,"$2,400,000.00","$17,300,000.00"
Poltergeist,2015-05-22,https://en.wikipedia.org/wiki/Poltergeist_(2015_film),Horror,Gil Kenan,,Sam Rockwell,Jared Harris,Rosemarie DeWitt,Saxon Sharbino,Kyle Catlett,"$35,000,000.00","$95,400,000.00"
Pompeii,2014-02-18,https://en.wikipedia.org/wiki/Pompeii_(film),Action,Paul W. S. Anderson,,Kit Harington,Emily Browning,Jared Harris,Kiefer Sutherland,Carrie-Anne Moss,"$80,000,000.00","$117,800,000.00"
Popstar: Never Stop Never Stopping,2016-06-03,https://en.wikipedia.org/wiki/Popstar:_Never_Stop_Never_Stopping,Comedy,Jorma Taccone,Akiva Schaffer,Jorma Taccone,Akiva Schaffer,Andy Samberg (screenplay),,,"$20,000,000.00","$9,500,000.00"
Premium Rush,2012-08-24,https://en.wikipedia.org/wiki/Premium_Rush,Action,David Koepp,,Joseph Gordon-Levitt,Michael Shannon,Dania Ramirez,Wole Parks,Jamie Chung,"$35,000,000.00","$31,100,000.00"
Pride and Prejudice and Zombies,2016-02-05,https://en.wikipedia.org/wiki/Pride_and_Prejudice_and_Zombies_(film),Comedy,Burr Steers,,Lily James,Sam Riley,Matt Smith,Lena Headey,Charles Dance,"$28,000,000.00","$16,400,000.00"
Prisoners,2013-09-20,https://en.wikipedia.org/wiki/Prisoners_(2013_film),Crime,Denis Villeneuve,,Jake Gyllenhaal,Hugh Jackman,Paul Dano,Melissa Leo,Viola Davis,"$46,000,000.00","$122,100,000.00"
Project Almanac,2015-01-30,https://en.wikipedia.org/wiki/Project_Almanac,Sci-Fi,Dean Israelite,,Jonny Weston,Sofia Black-D'Elia,,,,"$12,000,000.00","$33,200,000.00"
Project X,2012-03-02,https://en.wikipedia.org/wiki/Project_X_(2012_film),Comedy,Nima Nourizadeh,,Miles Teller,Oliver Cooper,Jonathan Daniel Brown,Kirby Bliss Blanton,Thomas Mann,"$12,000,000.00","$102,700,000.00"
Prometheus,2012-06-08,https://en.wikipedia.org/wiki/Prometheus_(2012_film),Sci-Fi,Ridley Scott,,Noomi Rapace,Michael Fassbender,Charlize Theron,Idris Elba,Guy Pearce,"$130,000,000.00","$403,400,000.00"
Promised Land,2012-12-28,https://en.wikipedia.org/wiki/Promised_Land_(2012_film),Drama,Gus Van Sant,,Matt Damon,John Krasinski,Rosemarie DeWitt,Frances McDormand,,"$15,000,000.00","$8,100,000.00"
R.I.P.D.,2013-07-19,https://en.wikipedia.org/wiki/R.I.P.D.,Action,Robert Schwentke,,Ryan Reynolds,Jeff Bridges,Kevin Bacon,Stephanie Szostak,Mary-Louise Parker,"$130,000,000.00","$78,300,000.00"
Race,2016-02-19,https://en.wikipedia.org/wiki/Race_(2016_film),Drama,Stephen Hopkins,,Stephan James,Jason Sudeikis,Jeremy Irons,William Hurt,Carice van Houten,"$5,000,000.00","$23,500,000.00"
Raiders of the Lost Ark: The IMAX Experience,2012-09-07,https://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark,Action,Steven Spielberg,,Harrison Ford,John Rhys-Davies,Karen Allen,Paul Freeman,Alfred Molina,"$18,000,000.00","$389,900,000.00"
Rams,2015-05-15,https://en.wikipedia.org/wiki/Rams_(film),Drama,Grímur Hákonarson,,Sigurður Sigurjónsson,,,,,"$1,750,000.00","$1,740,000.00"
Ratchet & Clank,2016-04-29,https://en.wikipedia.org/wiki/Ratchet_%2526_Clank_(film),Sci-Fi,Jerrica Cleland,Kevin Munroe,Paul Giamatti,John Goodman,Bella Thorne,Rosario Dawson,James Arnold Taylor,"$20,000,000.00","$12,800,000.00"
RED 2,2013-07-19,https://en.wikipedia.org/wiki/RED_2_(film),Action,Dean Parisot,,Bruce Willis,John Malkovich,Helen Mirren,Mary-Louise Parker,Catherine Zeta-Jones,"$84,000,000.00","$148,100,000.00"
Red Dawn,2012-11-21,https://en.wikipedia.org/wiki/Red_Dawn_(2012_film),Action,Dan Bradley,,Will Yun Lee,Chris Hemsworth,Josh Peck,Adrianne Palicki,Josh Hutcherson,"$65,000,000.00","$48,100,000.00"
Red Tails,2012-01-20,https://en.wikipedia.org/wiki/Red_Tails,Drama,Anthony Hemingway,,Cuba Gooding Jr.,Nate Parker,David Oyelowo,Daniela Ruah,Terrence Howard,"$58,000,000.00","$50,400,000.00"
Resident Evil: Retribution,2012-09-14,https://en.wikipedia.org/wiki/Resident_Evil:_Retribution,Action,Paul W. S. Anderson,,Milla Jovovich,Sienna Guillory,Colin Salmon,Boris Kodjoe,Michelle Rodriguez,"$65,000,000.00","$240,200,000.00"
Ricki and the Flash,2015-08-07,https://en.wikipedia.org/wiki/Ricki_and_the_Flash,Comedy,Jonathan Demme,,Meryl Streep,Kevin Kline,Mamie Gummer,Audra McDonald,Sebastian Stan,"$18,000,000.00","$41,300,000.00"
Riddick,2013-09-06,https://en.wikipedia.org/wiki/Riddick_(film),Action,David Twohy,,Vin Diesel,Karl Urban,Katee Sackhoff,Dave Bautista,Matthew Nable,"$40,000,000.00","$100,300,000.00"
Ride Along,2014-01-17,https://en.wikipedia.org/wiki/Ride_Along_(film),Action,Tim Story,,Ice Cube,Kevin Hart,John Leguizamo,Bruce McGill,Tika Sumpter,"$25,000,000.00","$154,500,000.00"
Ride Along 2,2016-01-15,https://en.wikipedia.org/wiki/Ride_Along_2,Comedy,Tim Story,,Ice Cube,Kevin Hart,Benjamin Bratt,Olivia Munn,Ken Jeong,"$40,000,000.00","$124,200,000.00"
Rio 2,2014-03-20,https://en.wikipedia.org/wiki/Rio_2,Family,Carlos Saldanha,,Jesse Eisenberg,Anne Hathaway,Leslie Mann,Bruno Mars,Jemaine Clement,"$103,000,000.00","$500,100,000.00"
Rise of the Guardians,2012-11-21,https://en.wikipedia.org/wiki/Rise_of_the_Guardians,Adventure,Peter Ramsey,,Chris Pine,Alec Baldwin,Hugh Jackman,Isla Fisher,Jude Law,"$145,000,000.00","$306,900,000.00"
Risen,2016-02-19,https://en.wikipedia.org/wiki/Risen_(2016_film),Drama,Kevin Reynolds,,Joseph Fiennes,Tom Felton,Cliff Curtis,,,"$20,000,000.00","$46,100,000.00"
RoboCop,2014-01-30,https://en.wikipedia.org/wiki/RoboCop_(2014_film),Action,José Padilha,,Joel Kinnaman,Gary Oldman,Michael Keaton,Samuel L. Jackson,Jackie Earle Haley,"$100,000,000.00","$242,700,000.00"
Robot & Frank,2012-08-17,https://en.wikipedia.org/wiki/Robot_%2526_Frank,Comedy,Jake Schreier,,Frank Langella,Susan Sarandon,James Marsden,Liv Tyler,Peter Sarsgaard,"$2,500,000.00","$4,900,000.00"
Rock of Ages,2012-06-15,https://en.wikipedia.org/wiki/Rock_of_Ages_(2012_film),Musical,Adam Shankman,,Julianne Hough,Diego Boneta,Tom Cruise,Alec Baldwin,Russell Brand,"$75,000,000.00","$59,400,000.00"
Rock the Kasbah,2015-10-22,https://en.wikipedia.org/wiki/Rock_the_Kasbah_(film),Comedy,Barry Levinson,,Bill Murray,Bruce Willis,Kate Hudson,Scott Caan,Zooey Deschanel,"$15,000,000.00","$3,400,000.00"
Romeo and Juliet,2013-07-26,https://en.wikipedia.org/wiki/Romeo_and_Juliet_(2013_film),Drama,Carlo Carlei,,Hailee Steinfeld,Douglas Booth,Damian Lewis,Natascha McElhone,Lesley Manville,"$15,000,000.00","$3,000,000.00"
Room,2015-09-04,https://en.wikipedia.org/wiki/Room_(2015_film),Drama,Lenny Abrahamson,,Brie Larson,Joan Allen,William H. Macy,Sean Bridgers,Jacob Tremblay,"$13,000,000.00","$36,000,000.00"
Run All Night,2015-03-13,https://en.wikipedia.org/wiki/Run_All_Night_(film),Action,Jaume Collet-Serra,,Liam Neeson,Joel Kinnaman,Ed Harris,,,"$61,600,000.00","$71,700,000.00"
"Runner, Runner",2013-09-27,"https://en.wikipedia.org/wiki/Runner,_Runner_(film)",Crime,Brad Furman,,Ben Affleck,Justin Timberlake,Gemma Arterton,Anthony Mackie,,"$30,000,000.00","$30,000,000.00"
Rush,2013-09-20,https://en.wikipedia.org/wiki/Rush_(2013_film),Action,Ron Howard,,Chris Hemsworth,Daniel Bruhl,Olivia Wilde,Alexandra Maria Lara,,"$38,000,000.00","$90,200,000.00"
Sabotage,2014-03-19,https://en.wikipedia.org/wiki/Sabotage_(2014_film),Action,David Ayer,,Arnold Schwarzenegger,Mireille Enos,Sam Worthington,Joe Manganiello,Olivia Williams,"$35,000,000.00","$17,500,000.00"
Safe House,2012-02-10,https://en.wikipedia.org/wiki/Safe_House_(2012_film),Action,Daniel Espinosa,,Denzel Washington,Ryan Reynolds,Sam Shepard,Robert Patrick,Liam Cunningham,"$85,000,000.00","$208,100,000.00"
Salmon Fishing in the Yemen,2012-03-09,https://en.wikipedia.org/wiki/Salmon_Fishing_in_the_Yemen,Drama,Lasse Hallström,,Ewan McGregor,Emily Blunt,Kristin Scott Thomas,Amr Waked,,"$14,400,000.00","$34,600,000.00"
Savages,2012-07-06,https://en.wikipedia.org/wiki/Savages_(2012_film),Crime,Oliver Stone,,Taylor Kitsch,Blake Lively,Aaron Johnson,John Travolta,Benicio del Toro,"$45,000,000.00","$83,000,000.00"
Scary Movie 5,2013-04-12,https://en.wikipedia.org/wiki/Scary_Movie_5,Comedy,Malcolm D. Lee,,Ashley Tisdale,Simon Rex,Lindsay Lohan,Charlie Sheen,Terry Crews,"$20,000,000.00","$78,400,000.00"
Secret in Their Eyes,2015-11-20,https://en.wikipedia.org/wiki/Secret_in_Their_Eyes,Crime,Billy Ray,,Julia Roberts,Nicole Kidman,Chiwetel Ejiofor,Dean Norris,,"$19,500,000.00","$32,200,000.00"
Self/less,2015-07-10,https://en.wikipedia.org/wiki/Self/less,Drama,Tarsem Singh,,Ryan Reynolds,Ben Kingsley,Natalie Martinez,Victor Garber,Matthew Goode,"$26,000,000.00","$30,500,000.00"
Selma,2014-12-25,https://en.wikipedia.org/wiki/Selma_(film),Drama,Ava DuVernay,,David Oyelowo,Tom Wilkinson,Common,Carmen Ejogo,,"$20,000,000.00","$66,800,000.00"
Seventh Son,2014-12-17,https://en.wikipedia.org/wiki/Seventh_Son_(film),Fantasy,Sergei Bodrov,,Sergei Bodrov (director) Ben Barnes,Jeff Bridges,Julianne Moore,Alicia Vikander,Kit Harington,"$95,000,000.00","$114,200,000.00"
Shaun the Sheep Movie,2015-01-24,https://en.wikipedia.org/wiki/Shaun_the_Sheep_Movie,Adventure,Mark Burton,,Justin Fletcher,John Sparkes,,,,"$25,000,000.00","$106,000,000.00"
Sicario,2015-05-19,https://en.wikipedia.org/wiki/Sicario_(2015_film),Crime,Denis Villeneuve,,Emily Blunt,Benicio del Toro,Josh Brolin,Jon Bernthal,,"$30,000,000.00","$84,900,000.00"
Side Effects,2013-02-08,https://en.wikipedia.org/wiki/Side_Effects_(2013_film),Crime,Steven Soderbergh,,Rooney Mara,Jude Law,Channing Tatum,Catherine Zeta-Jones,Vinessa Shaw,"$30,000,000.00","$66,700,000.00"
Silent Hill: Revelation 3D,2012-10-26,https://en.wikipedia.org/wiki/Silent_Hill:_Revelation_3D,Horror,Michael J. Bassett,,Adelaide Clemens,Sean Bean,Radha Mitchell,Kit Harington,Carrie-Anne Moss,"$20,000,000.00","$52,300,000.00"
Silver Linings Playbook,2012-11-16,https://en.wikipedia.org/wiki/Silver_Linings_Playbook,Drama,David O. Russell,,Bradley Cooper,Jennifer Lawrence,Brea Bee,Robert De Niro,Jacki Weaver,"$21,000,000.00","$236,400,000.00"
Sin City: A Dame to Kill For,2014-08-19,https://en.wikipedia.org/wiki/Sin_City:_A_Dame_to_Kill_For,Crime,Frank Miller,Robert Rodriguez,Jessica Alba,Powers Boothe,Josh Brolin,Rosario Dawson,Joseph Gordon-Levitt,"$65,000,000.00","$39,400,000.00"
Sinister,2012-10-12,https://en.wikipedia.org/wiki/Sinister_(film),Horror,Scott Derrickson,,Ethan Hawke,Juliet Rylance,Fred Thompson,Vincent D'Onofrio,,"$3,000,000.00","$77,700,000.00"
Sinister 2,2015-08-21,https://en.wikipedia.org/wiki/Sinister_2,Horror,Ciaran Foy,,James Ransone,Shannyn Sossamon,,,,"$10,000,000.00","$52,900,000.00"
Sisters,2015-12-18,https://en.wikipedia.org/wiki/Sisters_(2015_film),Comedy,Jason Moore,,Amy Poehler,Tina Fey,John Cena,Maya Rudolph,,"$30,000,000.00","$105,000,000.00"
Snitch,2013-02-22,https://en.wikipedia.org/wiki/Snitch_(film),Action,Ric Roman Waugh,,Dwayne Johnson,Susan Sarandon,Benjamin Bratt,Barry Pepper,,"$15,000,000.00","$57,800,000.00"
Snow White and the Huntsman,2012-06-01,https://en.wikipedia.org/wiki/Snow_White_and_the_Huntsman,Action,Rupert Sanders,,Charlize Theron,Kristen Stewart,Chris Hemsworth,Sam Spruell,Ian McShane,"$170,000,000.00","$396,600,000.00"
Son of God,2014-02-28,https://en.wikipedia.org/wiki/Son_of_God_(film),Drama,Christopher Spencer,,Diogo Morgado,Roma Downey,Darwin Shaw,,,"$22,000,000.00","$67,800,000.00"
Son of Saul,2015-05-15,https://en.wikipedia.org/wiki/Son_of_Saul,Drama,László Nemes,,Géza Röhrig,,,,,"$1,500,000.00","$6,200,000.00"
Southpaw,2015-06-15,https://en.wikipedia.org/wiki/Southpaw_(film),Drama,Antoine Fuqua,,Jake Gyllenhaal,Rachel McAdams,Naomie Harris,Forest Whitaker,Victor Ortiz,"$30,000,000.00","$92,000,000.00"
Spotlight,2015-09-03,https://en.wikipedia.org/wiki/Spotlight_(film),Drama,Tom McCarthy,,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,"$20,000,000.00","$88,300,000.00"
Spy,2015-05-15,https://en.wikipedia.org/wiki/Spy_(2015_film),Action,Paul Feig,,Melissa McCarthy,Jason Statham,Rose Byrne,Miranda Hart,Bobby Cannavale,"$65,000,000.00","$235,700,000.00"
St. Vincent,2014-09-05,https://en.wikipedia.org/wiki/St._Vincent_(film),Comedy,Theodore Melfi,,Bill Murray,Melissa McCarthy,Naomi Watts,Chris O'Dowd,Kimberly Quinn,"$13,000,000.00","$54,800,000.00"
Stand by Me Doraemon,2014-08-08,https://en.wikipedia.org/wiki/Stand_by_Me_Doraemon,Animation,Takashi Yamazaki,Ryuichi Yagi,Wasabi Mizuta,Megumi Ohara,Yumi Kakazu,Tomokazu Seki,Subaru Kimura,"$35,000,000.00","$196,400,000.00"
Star Trek Beyond,2016-07-22,https://en.wikipedia.org/wiki/Star_Trek_Beyond,Action,Justin Lin,,Chris Pine,Zachary Quinto,Zoe Saldana,Karl Urban,John Cho,"$185,000,000.00","$243,000,000.00"
Step Up: All In,2014-08-08,https://en.wikipedia.org/wiki/Step_Up:_All_In,Drama,Trish Sie,,Ryan Guzman,Briana Evigan,Alyson Stoner,Adam Sevani,Mari Koda,"$45,000,000.00","$86,200,000.00"
Steve Jobs,2015-09-05,https://en.wikipedia.org/wiki/Steve_Jobs_(2015_film),Biography,Danny Boyle,,Michael Fassbender,Seth Rogen,Kate Winslet,Jeff Daniels,Katherine Waterston,"$30,000,000.00","$34,400,000.00"
Straight Outta Compton,2015-08-11,https://en.wikipedia.org/wiki/Straight_Outta_Compton_(2015_film),Biography,F. Gary Gray,,O'Shea Jackson,Jr.,Corey Hawkins,Jason Mitchell,Aldis Hodge,"$50,000,000.00","$201,600,000.00"
Suffragette,2015-09-04,https://en.wikipedia.org/wiki/Suffragette_(film),Drama,Sarah Gavron,,Carey Mulligan,Helena Bonham Carter,Meryl Streep,Ben Whishaw,Brendan Gleeson,"$14,000,000.00","$32,000,000.00"
Suicide Squad,2016-08-05,https://en.wikipedia.org/wiki/Suicide_Squad_(film),Action,David Ayer,,Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman,Viola Davis,"$175,000,000.00","$636,700,000.00"
Taken 2,2012-10-05,https://en.wikipedia.org/wiki/Taken_2,Action,Olivier Megaton,,Liam Neeson,Famke Janssen,Maggie Grace,Rade Sherbedgia,Luke Grimes,"$43,000,000.00","$376,100,000.00"
Tammy,2014-07-02,https://en.wikipedia.org/wiki/Tammy_(film),Comedy,Ben Falcone,,Melissa McCarthy,Susan Sarandon,Allison Janney,Toni Collette,Sandra Oh,"$20,000,000.00","$100,500,000.00"
Ted,2012-06-29,https://en.wikipedia.org/wiki/Ted_(film),Comedy,Seth MacFarlane,,Mark Wahlberg,Mila Kunis,Seth MacFarlane,Giovanni Ribisi,Joel McHale,"$51,000,000.00","$549,400,000.00"
Ted 2,2015-06-24,https://en.wikipedia.org/wiki/Ted_2,Comedy,Seth MacFarlane,,Alec Sulkin,Wellesley Wild(screenplay) Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Giovanni Ribisi,"$68,000,000.00","$216,700,000.00"
Teenage Mutant Ninja Turtles,2014-07-29,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_(2014_film),Action,Jonathan Liebesman,,Megan Fox,Johnny Knoxville,Alan Ritchson,Noel Fisher,Jeremy Howard,"$125,000,000.00","$493,300,000.00"
Teenage Mutant Ninja Turtles: Out of the Shadows,2016-05-22,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows,Action,Dave Green,,Megan Fox,Stephen Amell,Will Arnett,Laura Linney,Brian Tee,"$135,000,000.00","$242,500,000.00"
Terminator Genisys,2015-06-22,https://en.wikipedia.org/wiki/Terminator_Genisys,Sci-Fi,Alan Taylor,,Arnold Schwarzenegger,J. K. Simmons,Emilia Clarke,Jason Clarke,Jai Courtney,"$155,000,000.00","$440,600,000.00"
Texas Chainsaw 3D,2013-01-04,https://en.wikipedia.org/wiki/Texas_Chainsaw_3D,Horror,John Luessenhop,,Alexandra Daddario,Dan Yeager,Trey Songz,Scott Eastwood,Tania Raymonde,"$20,000,000.00","$47,200,000.00"
That Awkward Moment,2014-01-27,https://en.wikipedia.org/wiki/That_Awkward_Moment,Comedy,Tom Gormican,,Zac Efron,Michael B. Jordan,Miles Teller,Imogen Poots,Jessica Lucas,"$8,000,000.00","$40,500,000.00"
The 33,2015-08-06,https://en.wikipedia.org/wiki/The_33_(film),Drama,Patricia Riggen,,Antonio Banderas,Rodrigo Santoro,Juliette Binoche,James Brolin,Lou Diamond Phillips,"$26,000,000.00","$24,900,000.00"
The 5th Wave,2016-01-22,https://en.wikipedia.org/wiki/The_5th_Wave_(film),Sci-Fi,J Blakeson,,Chloë Grace Moretz,Nick Robinson,Alex Roe,Liev Schreiber,Maika Monroe,"$35,000,000.00","$110,700,000.00"
The Age of Adaline,2015-04-24,https://en.wikipedia.org/wiki/The_Age_of_Adaline,Romance,Lee Toland Krieger,,Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn,Amanda Crew,"$25,000,000.00","$65,700,000.00"
The Amazing Spider-Man,2012-07-03,https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_(2012_film),Action,Marc Webb,,Andrew Garfield,Emma Stone,Max Charles,Martin Sheen,Sally Field,"$230,000,000.00","$757,900,000.00"
The Angry Birds Movie,2016-05-05,https://en.wikipedia.org/wiki/The_Angry_Birds_Movie,Comedy,Clay Kaytis,Fergal Reilly,Jason Sudeikis,Josh Gad,Danny McBride,Bill Hader,Maya Rudolph,"$73,000,000.00","$346,900,000.00"
The Best Exotic Marigold Hotel ₪,2012-05-04,https://en.wikipedia.org/wiki/The_Best_Exotic_Marigold_Hotel,Comedy,John Madden,,Judi Dench,Bill Nighy,Dev Patel,Tom Wilkinson,Maggie Smith,"$10,000,000.00","$136,800,000.00"
The Big Short,2015-12-11,https://en.wikipedia.org/wiki/The_Big_Short_(film),Biography,Adam McKay,,Religious Bale,Steve Carell,Ryan Gosling,Brad Pitt,Melissa Leo,"$28,000,000.00","$133,300,000.00"
The Bling Ring,2013-06-14,https://en.wikipedia.org/wiki/The_Bling_Ring,Comedy,Sofia Coppola,,Emma Watson,Israel Broussard,Katie Chang,Claire Julien,Taissa Farmiga,"$8,000,000.00","$19,100,000.00"
The Book of Life,2014-10-12,https://en.wikipedia.org/wiki/The_Book_of_Life_(2014_film),Family,Jorge R. Gutierrez,,Christina Applegate,Diego Luna,Zoe Saldana,Channing Tatum,,"$50,000,000.00","$99,800,000.00"
The Boss,2016-04-08,https://en.wikipedia.org/wiki/The_Boss_(2016_film),Comedy,Ben Falcone,,Melissa McCarthy,Kristen Bell,Peter Dinklage,Tyler Labine,Kristen Schaal,"$29,000,000.00","$78,600,000.00"
The Bourne Legacy,2012-08-10,https://en.wikipedia.org/wiki/The_Bourne_Legacy_(film),Action,Tony Gilroy,,Jeremy Renner,Rachel Weisz,Edward Norton,Oscar Isaac,Joan Allen,"$125,000,000.00","$276,100,000.00"
The Boxtrolls,2014-08-31,https://en.wikipedia.org/wiki/The_Boxtrolls,Family,Anthony Stacchi,Graham Annable,Ben Kingsley,Toni Collette,Elle Fanning,Isaac Hempstead-Wright,Jared Harris,"$60,000,000.00","$109,300,000.00"
The Boy,2016-01-22,https://en.wikipedia.org/wiki/The_Boy_(2016_film),Horror,William Brent Bell,,Lauren Cohan,Rupert Evans,Jim Norton,Diana Hardcastle,,"$10,000,000.00","$64,200,000.00"
The Butler,2013-08-16,https://en.wikipedia.org/wiki/The_Butler,Drama,Lee Daniels,,Forest Whitaker,Oprah Winfrey,David Oyelowo,Liam Neeson,John Cusack,"$30,000,000.00","$176,600,000.00"
The Cabin in the Woods,2012-04-13,https://en.wikipedia.org/wiki/The_Cabin_in_the_Woods,Horror,Drew Goddard,,Richard Jenkins,Bradley Whitford,Jesse Williams,Chris Hemsworth,Kristen Connolly,"$30,000,000.00","$66,500,000.00"
The Call,2013-03-15,https://en.wikipedia.org/wiki/The_Call_(2013_film),Mystery,Brad Anderson,,Abigail Breslin,Halle Berry,Morris Chestnut,Michael Eklund,Michael Imperioli,"$13,000,000.00","$68,600,000.00"
The Campaign,2012-08-10,https://en.wikipedia.org/wiki/The_Campaign_(film),Comedy,Jay Roach,,Will Ferrell,Zach Galifianakis,Jason Sudeikis,Katherine LaNasa,Dylan McDermott,"$95,000,000.00","$104,900,000.00"
